"","Cluster ID","Average Coverage","SD Coverage","Average Divergence","SD Divergence","Slope","Estimated Half-life","Top Hit","No. of Hits","%cluster","%genome"
"141","CL266",19.4329463524318,10.4038560857421,0.044230609,0.00427385803729511,"-57.2507058917988",0.0121072250509882,"DNA.hAT.Ac","93hits","31.1%","0.016"
"142","CL267",21.8356079930219,NA,0.050197761,NA,NA,NA,"LTR.Copia","238hits","97.6%","0.016"
"143","CL268",70.4017736270478,NA,0.021803387,NA,NA,NA,"Simple_repeat","8hits","1.46%","0.016"
"144","CL276",35.1203355851177,4.2699647704968,0.0338723185,0.00222175425522547,"-23.8246933759596",0.0290936453880816,"LTR.Gypsy","191hits","74.5%","0.015"
"145","CL279",22.88629901606,NA,0.029036786,NA,NA,NA,"Simple_repeat","11hits","1.64%","0.015"
"146","CL284",16.309448719093,NA,0.047289962,NA,NA,NA,"DNA.hAT.Ac","81hits","33.3%","0.014"
"147","CL288",23.5365589325237,13.4099189210414,0.03016496,0.000946980028782022,"276.988355850076",-0.00250244158615506,"LTR.Gypsy","128hits","54.7%","0.014"
"148","CL289",17.0701103191824,NA,0.044493663,NA,NA,NA,"LTR.Gypsy","6hits","1.79%","0.014"
"149","CL292",27.4157680904634,NA,0.064542939,NA,NA,NA,"Low_complexity","3hits","0.609%","0.014"
"150","CL295",4.166066032507,NA,0.034527841,NA,NA,NA,"Simple_repeat","2hits","0.469%","0.013"
"151","CL296",44.1788237270618,NA,0.026476884,NA,NA,NA,"LTR.Gypsy","61hits","25%","0.013"
"152","CL297",15.0043538163957,NA,0.083518128,NA,NA,NA,"LTR.Gypsy","158hits","76.9%","0.013"
"153","CL303",26.9038102831068,NA,0.055608783,NA,NA,NA,"Simple_repeat","1hits","0.216%","0.012"
"154","CL305",16.2760357095446,5.20712535697176,0.0209328265,0.00138928592701593,"-101.770109756216",0.00681091120192697,"LTR.Gypsy","155hits","80.9%","0.012"
"155","CL312",22.7030712218361,NA,0.041146027,NA,NA,NA,"LTR.Copia","127hits","71.5%","0.011"
"156","CL313",36.3343790992813,NA,0.012958565,NA,NA,NA,"LTR.Copia","8hits","2.14%","0.011"
"157","CL319",16.7270550875901,NA,0.016941094,NA,NA,NA,"Low_complexity","15hits","6.64%","0.011"
"158","CL321",19.1986427793024,NA,0.023823466,NA,NA,NA,"Simple_repeat","5hits","0.871%","0.01"
"159","CL323",16.330074033629,NA,0.037697355,NA,NA,NA,"LTR.Copia","94hits","56.8%","0.01"
"160","CL324",38.8193919957279,NA,0.052439119,NA,NA,NA,"LTR.Gypsy","13hits","4.85%","0.01"
